time,open,high,low,close,ADX
1747721100,21411.5,21416.25,21404.25,21410.5,34.73123979475311
1747721400,21410.75,21423.75,21393.5,21413.5,35.79188491984971
1747721700,21414,21419.25,21404,21404.75,36.776769678867986
1747722000,21404,21406,21394.75,21399.25,38.06231736992851
1747722300,21399,21404.25,21394,21402.5,39.28483981463878
1747722600,21403.75,21417.5,21400.75,21415,38.81262793728153
1747722900,21415.5,21426.5,21415.5,21425.5,37.46526302230763
1747723200,21425.75,21427,21417.5,21421.75,36.16525655248008
1747723500,21421.75,21429.25,21418.75,21427.25,34.728907073817936
1747723800,21427.75,21432,21414,21422.25,33.740776040652705
1747724100,21421.5,21426.25,21417,21422.5,32.82322579557071
1747724400,21422.25,21431.75,21408.25,21414.5,32.590747548520746
1747724700,21415.5,21426.25,21408.25,21425,32.37487489054578
1747725000,21426,21435.5,21422,21430,31.077726124614173
1747725300,21430.25,21445.75,21425.5,21443.5,28.862503769282515
1747725600,21443.75,21464,21437,21462.5,28.168272621915953
1747725900,21462.75,21466.5,21456,21464,27.682674962170307
1747726200,21464.5,21479.5,21453.25,21454.5,27.982168579193328
1747726500,21454.25,21462.25,21442,21443,27.217233291442376
1747726800,21443.25,21444.5,21426.75,21430.5,25.341303879062494
1747727100,21430.75,21432.5,21416.5,21418.25,24.122906753192247
1747727400,21418.25,21440,21416.75,21438,22.47133688804272
1747727700,21438.5,21448.25,21437,21444.75,21.32712233025498
1747728000,21444.75,21461.25,21438,21452,21.008273019407554
1747728300,21451.5,21456,21427,21433.75,19.94361819062556
1747728600,21433.5,21434,21415,21420.25,18.82292345073526
1747728900,21421,21443.75,21412,21442,17.76056091405776
1747729200,21442,21449.25,21438.25,21444.5,17.087087234668612
1747729500,21445,21448.5,21434.5,21439.25,16.210903584687323
1747729800,21439.25,21440.25,21429.75,21435,15.080274231704143
1747730100,21434.75,21443.5,21429.75,21433.25,14.24569383389429
1747730400,21433.75,21451.5,21432,21448,13.983074453336425
1747730700,21448,21460.75,21441.5,21454,14.279832421719954
1747731000,21453.75,21457.25,21435,21436,14.047482159489638
1747731300,21437,21441.5,21431.75,21433.75,13.582768058901035
1747731600,21434.75,21452.25,21429.25,21449,13.815483115124419
1747731900,21449,21453,21433.5,21434,14.076126248069782
1747732200,21433,21434.5,21427.25,21428.25,13.789021598118662
1747732500,21428.25,21431.75,21421,21422,13.022481678600197
1747732800,21422.25,21434.75,21419.5,21422.75,12.531087066447128
1747733100,21423,21424,21415.25,21416.75,11.723690043446604
1747733400,21417,21430,21416.5,21425.25,11.438026278457023
1747733700,21425,21432.25,21424,21432.25,11.34331921097728
1747734000,21431.5,21438.25,21426.75,21429.25,11.69949135942204
1747734300,21428.75,21431,21421,21422.5,11.47656775477983
1747734600,21422.25,21430.25,21417.5,21420.75,10.944995368290417
1747734900,21420.25,21426.25,21416.25,21426.25,10.333676220954317
1747735200,21426.25,21437,21419.75,21430,10.65808811051149
1747735500,21430.5,21443.5,21425,21441.25,11.426931535826954
1747735800,21442,21442.75,21435.75,21437.5,12.140857573619886
1747736100,21438,21454.75,21436.5,21450.5,13.597317831764702
1747736400,21450.5,21454,21446,21448.5,14.949745214327745
1747736700,21448.5,21449.25,21440,21441,15.488274897585958
1747737000,21441.5,21450.25,21438.75,21441.5,15.842086817808724
1747737300,21441.25,21442.25,21430.75,21433,15.281862523750405
1747737600,21433,21444,21432,21443,14.91778640686309
1747737900,21442.75,21446.25,21441.25,21445.25,14.784040740517288
1747738200,21445.75,21448.75,21441.5,21444.75,14.887863220259279
1747738500,21444.25,21464,21443,21462,16.146801969063855
1747738800,21463,21472,21457,21469.75,17.79262842313963
1747739100,21469.25,21474.5,21463,21473.5,19.46083101565634
1747739400,21473.75,21478.25,21464,21471.75,21.217821421376147
1747739700,21471.75,21479.5,21469.5,21475.25,22.91902898676561
1747740000,21475.75,21482.25,21472,21478.25,24.654571908773022
1747740300,21477.75,21483.75,21475,21478.25,26.352058465428602
1747740600,21477.75,21483,21469.75,21472.75,27.089782755374692
1747740900,21473,21486.25,21463.75,21479.5,26.908733626693227
1747741200,21479,21479,21470.5,21471,26.740616578631865
1747741500,21471.25,21478.5,21464.75,21476,25.786034073638515
1747741800,21476.75,21477.75,21465.5,21466.75,24.899636033287546
1747742100,21466.75,21468.5,21462.5,21463.75,23.659415758926798
1747742400,21463.25,21470,21454.25,21462.75,22.447779884671963
1747742700,21461.75,21474.5,21458.75,21458.75,20.915827030302562
1747743000,21459.25,21467.25,21457.25,21462.5,19.53248527076195
1747743300,21462.75,21471.75,21462.75,21465.5,18.57359604558017
1747743600,21466.25,21469,21452.5,21454.25,17.9936611433506
1747743900,21454.25,21455.75,21446.25,21449.75,18.049794222577447
1747744200,21449,21451.5,21440.5,21442.75,18.591228155664886
1747744500,21443,21444,21418,21429,20.486958151435296
1747744800,21428.5,21437.5,21426.5,21432.5,22.247278861793532
1747745100,21432.5,21443.25,21423.25,21437.5,23.134288760073556
1747745400,21437.25,21439,21427.5,21431,23.957940808476433
1747745700,21431,21436.5,21427.5,21436.5,24.722760567707677
1747746000,21436.5,21452,21433.75,21450.25,23.553775490798845
1747746300,21450.25,21452.5,21444,21448.5,22.416115429256454
1747746600,21448.75,21452,21438,21448,21.888447435534303
1747746900,21448,21454.25,21437.25,21448.25,21.140910402331023
1747747200,21449,21458,21431,21431,20.989203353047074
1747747500,21431.25,21442.25,21404.5,21412.75,22.47573419630929
1747747800,21412.25,21436.75,21407,21421.75,23.856084265052775
1747748100,21420.5,21432,21390.5,21428,25.839783662392975
1747748400,21428.25,21439.75,21394.25,21414,26.829529610429276
1747748700,21413.75,21417.5,21358,21374.5,28.97129387070044
1747749000,21375.25,21432,21354,21423,29.739653851975067
1747749300,21422.5,21426.75,21380,21394.5,30.453130977444363
1747749600,21394.25,21406,21369,21401.75,31.49224139705657
1747749900,21401,21415.25,21367.25,21369,31.696878648830918
1747750200,21369,21394,21362.5,21386,32.06980579740285
1747750500,21385.5,21414,21383.25,21405.25,30.946189012993003
1747750800,21405.75,21427,21396.75,21398.5,29.111771566301314
1747751100,21398.75,21417.5,21378.5,21394.75,28.259729112148552
1747751400,21394,21404.75,21381.5,21403.25,27.468546833292418
1747751700,21403,21445,21397.5,21439.5,26.316942460935906
1747752000,21439.5,21447.5,21433,21445.5,25.349065742723493
1747752300,21445.25,21451.25,21436,21447.25,24.607540402975253
1747752600,21447.25,21447.5,21413.5,21438.25,22.931899761017085
1747752900,21438.75,21444,21402.5,21407.75,21.86125127848087
1747753200,21407.25,21420,21387.25,21409.75,21.479040780735556
1747753500,21409.5,21417.5,21398.25,21413.25,21.124131032829194
1747753800,21413,21425.75,21405.25,21414.5,20.335438393650843
1747754100,21415,21433,21411.25,21424.25,19.212907070226873
1747754400,21424.75,21430.5,21407.5,21408.5,18.35380242985016
1747754700,21408.25,21425,21403.5,21422.5,17.75475929119263
1747755000,21422.25,21428.25,21407,21417.75,16.997778918246482
1747755300,21417.75,21420,21404.75,21412.75,16.418855760709256
1747755600,21413,21414.5,21393,21397.25,16.500440598387396
1747755900,21396.5,21422.75,21390,21420.25,16.01263661556506
1747756200,21419.75,21425,21412,21417.75,15.408247756344723
1747756500,21417.5,21445.75,21417.5,21436,15.005599836793774
1747756800,21435.75,21442,21426.5,21433.75,14.631712482925035
1747757100,21433.75,21436,21411.5,21421.25,13.821445700904809
1747757400,21421.5,21427,21403,21420.25,13.536632566427508
1747757700,21419.75,21426.25,21412.75,21420.5,13.272163227270015
1747758000,21420.25,21432.25,21412.25,21413.5,12.614686394346798
1747758300,21413.75,21439.75,21405.25,21431.25,11.913789221573492
1747758600,21430.75,21447,21428.5,21439.75,11.70937623695086
1747758900,21439.5,21464,21438.75,21458.25,12.42703073586734
1747759200,21458,21467.5,21453.5,21465,13.261321028596864
1747759500,21464.5,21471,21457.75,21465,14.20590309274112
1747759800,21465.25,21472.75,21456.25,21465.5,15.170153814900415
1747760100,21465.75,21472.25,21457.5,21458.5,16.0655294854769
1747760400,21459.25,21469.5,21454.25,21467.25,16.58216713804274
1747760700,21466.75,21473.75,21463.5,21470.75,17.315816131168997
1747761000,21470.75,21472.25,21458.75,21468.5,17.518322411775262
1747761300,21468.75,21469,21450.75,21457,16.955844643354098
1747761600,21457,21457.25,21443.75,21448.25,15.83730394971205
1747761900,21448.75,21461.75,21448,21453.75,15.151649494162006
1747762200,21453.5,21457.5,21422.25,21427.5,15.413067018445942
1747762500,21427.75,21437,21418.25,21426.75,15.875878158009652
1747762800,21426.75,21443,21420.25,21434,15.802740974302129
1747763100,21434,21437,21418.5,21419,15.843204150868731
1747763400,21419.25,21434.5,21407.75,21434,16.510696983025046
1747763700,21433.25,21435.75,21420.5,21431.25,17.01397277084135
1747764000,21431,21438.75,21421,21435.5,17.193704960544384
1747764300,21435.25,21442.5,21428,21430,17.001806724997053
1747764600,21430.25,21441.25,21428,21434,16.82361550627453
1747764900,21434,21439.5,21411,21421.75,17.763215105089188
1747765200,21421.75,21421.75,21368.25,21389.25,20.280667163547395
1747765500,21388.75,21402.5,21340.75,21350,23.241160471965962
1747765800,21350.25,21369.25,21343,21365,25.990189972640344
1747766100,21365,21386,21361.75,21377.75,27.204098012173283
1747766400,21378.5,21381.5,21342.75,21359,28.836343496073535
1747766700,21358.25,21365,21344,21353.75,30.35200001683806
1747767000,21353.75,21367.75,21344.75,21354,31.540824148352943
1747767300,21354,21361.25,21348,21348.75,32.6447322704739
1747767600,21348.75,21350,21304,21309.25,34.709148566028894
1747767900,21310,21343.5,21298,21340.25,36.732547010599
1747768200,21340,21358.5,21331.5,21354.5,37.51119232106614
1747768500,21354,21369.25,21343.75,21364.25,37.517553699969405
1747768800,21364.75,21378,21362.75,21373.25,36.97086842206621
1747769100,21373,21388,21370,21377.5,35.86289811155268
1747769400,21378.25,21413,21378.25,21404.25,33.546704223684955
1747769700,21403.75,21416.25,21398.25,21411.5,31.245589563977077
1747770000,21411.25,21417.25,21388.75,21393,29.533172485263208
1747770300,21393.5,21410.75,21384.5,21396.25,28.129781720997666
1747770600,21396.25,21440.75,21378,21432,26.799528155709485
1747770900,21431.75,21452,21421.25,21447.25,25.994312348869848
1747771200,21447.5,21451.5,21420.25,21424.5,25.194393210620852
1747771500,21424.25,21435.25,21407.75,21413.75,23.80794596720027
1747771800,21413.75,21419.25,21398.5,21400.75,22.139082513109702
1747772100,21401.25,21422.5,21401,21420.5,20.68235909396757
1747772400,21420.75,21435,21419.5,21434.5,19.910710068028774
1747772700,21434.25,21439.75,21430.5,21434,19.405120013005433
1747773000,21433.75,21434.75,21424.25,21428.25,18.57801680690191
1747773300,21428.25,21432.5,21421.5,21422,17.651386771075693
1747773600,21422.25,21426,21416.75,21419.75,16.512651892787275
1747773900,21419,21422.5,21415,21418.75,15.35044721622997
1747774200,21418.5,21419.75,21409.25,21412.25,14.584472895707115
1747774500,21412,21425,21408,21419,13.552870660783277
1747778400,21413.75,21416.75,21402,21410.75,12.954616944268693
1747778700,21410.25,21410.25,21360.25,21361.5,14.327489408157643
1747779000,21362.25,21377,21345.5,21356.5,16.07580738453227
1747779300,21356.5,21377.25,21342.75,21373.75,17.783374365615234
1747779600,21373,21386,21373,21379.75,18.75036292256238
1747779900,21380,21384,21367.25,21377.75,19.85406005067503
1747780200,21378,21404.75,21376.25,21397.5,19.535272642248096
1747780500,21397.25,21402,21392.5,21394.5,19.239255762994514
1747780800,21394.5,21397.75,21385.5,21396.25,19.278582249959157
1747781100,21396.75,21397.25,21386.75,21390.75,19.315099702140607
1747781400,21390.5,21396.75,21383.5,21391,19.50502946610221
1747781700,21391.75,21403,21391.75,21400.25,19.216262869934912
1747782000,21400.5,21422.75,21397.25,21417.75,18.00722155886864
1747782300,21417.25,21422.75,21416.5,21420.25,16.88454034144996
1747782600,21420,21425.75,21418,21418.75,16.026100768524053
1747782900,21418.75,21423.5,21414.5,21416.5,14.988759266339722
1747783200,21416,21423,21414.5,21415.75,14.025513585739988
1747783500,21415.75,21417.25,21412,21416,13.103942579043446
1747783800,21416.75,21417.25,21412.25,21413.25,12.248198072825229
1747784100,21413.5,21419.25,21406,21409,11.946530671008917
1747784400,21409.75,21410.75,21405.5,21407.5,11.705680270763827
1747784700,21407.75,21415,21406.25,21411.25,11.079706261195112
1747785000,21412,21422,21410.75,21419.75,10.697747571960166
1747785300,21419.5,21431.75,21418,21431.75,11.098647518319884
1747785600,21431.75,21434.75,21426.75,21428.25,11.685216998445924
1747785900,21427.75,21427.75,21404,21412.25,11.401249648282231
1747786200,21413,21419.5,21411.5,21412.5,11.137565680273088
1747786500,21412,21421.5,21407.25,21409.25,11.201044208132966
1747786800,21409.25,21432.5,21403,21432.25,10.464829925792278
1747787100,21432.25,21443.25,21430.75,21440.5,10.547454584322558
1747787400,21440.75,21444,21430.75,21433.5,10.675103297870596
1747787700,21433.25,21440.5,21431.25,21438,10.793634246165205
1747788000,21438,21441.75,21424.25,21432.5,10.259302709794635
1747788300,21432.75,21442.25,21432.25,21435.75,9.805540032177792
1747788600,21435.75,21437,21421.75,21429,9.731001070290079
1747788900,21428.75,21432.5,21419.5,21423.75,9.840131387129222
1747789200,21423.25,21429,21404.75,21427,10.967806940022877
1747789500,21427.25,21434.75,21425.25,21430,11.44378409895833
1747789800,21430.75,21435.25,21424.25,21429.25,11.955073024773705
1747790100,21430,21430,21415,21416.25,13.040483252304472
1747790400,21416,21416.75,21395,21401,15.070847490674137
1747790700,21401,21407,21398.5,21401,16.956185712017398
1747791000,21399.75,21401.5,21388.25,21395.5,19.14410988453661
1747791300,21396,21402.5,21390,21402,21.061180084184837
1747791600,21402.5,21411.5,21400.25,21410.25,21.84758211920938
1747791900,21410.5,21414,21406.5,21409.25,22.3163263200327
1747792200,21409.5,21412,21402.25,21405,22.99855080915795
1747792500,21406,21407,21397.25,21401,23.91265646604576
1747792800,21402.25,21403.25,21394,21401,24.939389447780353
1747793100,21401,21405.75,21391,21399.25,26.056477184622313
1747793400,21399.25,21401.5,21393.25,21397.25,27.093772940261278
1747793700,21397,21399.5,21377,21378,28.85982559013911
1747794000,21377.5,21387,21374,21378.25,30.624467431742648
1747794300,21377.75,21385.5,21376,21376.25,32.263063427517366
1747794600,21376.75,21397.75,21373.75,21395,32.17770533510779
1747794900,21395,21399.25,21391.75,21392.75,31.921014214244142
1747795200,21392.75,21396.75,21380.25,21382.5,32.37286623778801
1747795500,21382.25,21387,21378.75,21384,32.87471368780235
1747795800,21383.5,21384.5,21379.5,21380.75,33.340714891387094
1747796100,21381,21382.75,21375.25,21378.5,34.02340797009692
1747796400,21378.25,21389,21377.75,21387.25,33.80204304854384
1747796700,21387.5,21398,21386.25,21395.25,32.521021126741
1747797000,21395.5,21397,21392.75,21395.5,31.33150077078121
1747797300,21395.5,21396,21376.25,21377.25,31.407670868714526
1747797600,21377.25,21383.25,21373.75,21376,31.628397203149845
1747797900,21376.5,21378,21372.25,21375.75,31.925419914389114
1747798200,21374.25,21383.5,21370.5,21378,31.501958893757713
